Unnamed: 0,층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각,시야방해점수,좌석공간넓음,휠체어석,1/거리**3,무대정면과의각도,좌우시선각도,상하시선각도,주성분
0,1층,A블록,1,1,1층 A블록1열 1,1451,542,-93,1층 E블록1열 9,1551.713247,15.21990005,33.94842128,100,1,0,2.6764898257464805e-10,0.35,55.518252895078966,3.436010308032837,-738.8240953856956
1,1층,A블록,1,2,1층 A블록1열 2,1406,555,-93,1층 E블록1열 8,1514.433888,16.94559359,34.33174593,100,1,0,2.8790489084037086e-10,0.367,54.45972179443377,3.520696590701476,-776.1192960778432
2,1층,A블록,1,3,1층 A블록1열 3,1361,568,-93,1층 E블록1열 7,1477.698887,18.86985306,34.69538503,100,1,0,3.0991468929808434e-10,0.385,53.34795912079002,3.608334175721739,-812.8726585885189
3,1층,A블록,1,4,1층 A블록1열 4,1315,580,-93,1층 E블록1열 6,1440.234009,21.00973641,35.06957522,100,1,0,3.3473476068752647e-10,0.404,52.20011796341036,3.702327143374511,-850.35880773529
4,1층,A블록,1,5,1층 A블록1열 5,1270,591,-93,1층 E블록1열 5,1403.862529,23.31483279,35.42695773,100,1,0,3.6143171057209846e-10,0.422,51.04557996837705,3.798386570368115,-886.753983984636
5,1층,A블록,1,6,1층 A블록1열 6,1224,602,-93,1층 E블록1열 4,1367.197499,25.93399669,35.76936128,100,1,0,3.91296744073336e-10,0.441,49.81135118055101,3.900405964954687,-923.4466541263039
6,1층,A블록,1,7,1층 A블록1열 7,1178,613,-93,1층 E블록1열 3,1331.203215,28.85437667,36.07765181,100,1,0,4.239034259886189e-10,0.462,48.50942294400048,4.006038602266064,-959.4724007287891
7,1층,A블록,1,8,1층 A블록1열 8,1133,624,-93,1층 E블록1열 2,1296.809161,32.03295419,36.33340107,100,1,0,4.585342604485697e-10,0.482,47.156912906996965,4.112467468646384,-993.9012063978109
8,1층,A블록,1,9,1층 A블록1열 9,1086,633,-93,1층 E블록1열 1,1260.44992,35.59621732,36.62333308,100,1,0,4.993708815161483e-10,0.504,45.76394643752352,4.231309779514558,-1030.300543253486
9,1층,B블록,1,1,1층 B블록1열 1,927,664,-93,1층 D블록1열 9,1144.060313,50.30501326,37.15420539,100,1,0,6.678104934290977e-10,0.582,46.54620427252744,4.662685515002913,-1146.8909687144987
